Meso_region_geo,State,Year,AP_ha,AC_ha,QP_ton,RMP_kgha,VP_pct
Borborema,PB,1991,48895,48895,10327,211,38.88
Agreste Paraibano,PB,1991,107250,107250,44787,417,26.33
Mata Paraibana,PB,1991,5973,5973,2591,433,0.63
Sertão Pernambucano,PE,1991,191205,146677,33301,227,26.45
São Francisco Pernambucano,PE,1991,24789,15450,12112,783,8.99
Agreste Pernambucano,PE,1991,170980,133048,50704,381,19.78
Mata Pernambucana,PE,1991,4564,4499,1792,398,0.25
Metropolitana de Recife,PE,1991,544,540,263,487,0.07
Sertão Alagoano,AL,1991,95780,95210,21136,221,55.29
Agreste Alagoano,AL,1991,32113,32113,16381,510,15.98
Leste Alagoano,AL,1991,8581,7967,3911,490,0.63
Sertão Sergipano,SE,1991,38625,34445,15160,440,40.06
Agreste Sergipano,SE,1991,26115,25920,12464,480,13.81
Leste Sergipano,SE,1991,4483,4201,1791,426,2.1
Extremo Oeste Baiano,BA,1991,35685,34285,36035,1051,10.84
Vale São-Franciscano da Bahia,BA,1991,36329,35931,29008,807,15.56
Centro Norte Baiano,BA,1991,250715,240467,110565,459,32.62
Nordeste Baiano,BA,1991,281181,272369,121000,444,39.31
Metropolitana de Salvador,BA,1991,2608,2608,1597,612,1.21
Centro Sul Baiano,BA,1991,117610,113636,56785,499,10.11
Sul Baiano,BA,1991,4490,4490,3201,712,3.48
Noroeste de Minas,MG,1991,40991,37321,51083,1368,17.57
Norte de Minas,MG,1991,64413,64154,56713,884,20.07
Jequitinhonha,MG,1991,25254,25254,12847,508,19.79
Vale do Mucuri,MG,1991,17924,17924,7530,420,13.06
Triângulo Mineiro/Alto Paranaíba,MG,1991,47499,46890,34391,733,3.72
Central Mineira,MG,1991,9526,9526,4638,486,6.93
Metropolitana de Belo Horizonte,MG,1991,44633,44226,21513,486,12.91
Vale do Rio Doce,MG,1991,71877,71877,30377,422,14.52
Oeste de Minas,MG,1991,28037,27997,11312,404,12.21
Sul/Sudoeste de Minas,MG,1991,92816,92816,50716,546,9.84
Campo das Vertentes,MG,1991,21794,21794,9860,452,9.01
Zona da Mata,MG,1991,85684,85684,39319,458,16.04
Noroeste Espírito-santense,ES,1991,18181,18181,9194,505,11.94
Litoral Norte Espírito-santense,ES,1991,33852,33852,40783,1204,40.21
Central Espírito-santense,ES,1991,24610,24610,15116,614,15.14
Sul Espírito-santense,ES,1991,11475,11475,6231,543,6.71
Noroeste Fluminense,RJ,1991,3575,3510,2233,636,3.68
Norte Fluminense,RJ,1991,3391,3376,2926,866,1.12
Centro Fluminense,RJ,1991,2187,2182,1571,719,6.25
Baixadas,RJ,1991,951,946,746,788,2.13
Sul Fluminense,RJ,1991,2233,2233,1503,673,11.19
Metropolitana do Rio de Janeiro,RJ,1991,1211,1166,949,813,1.02
São José do Rio Preto,SP,1991,19026,19026,18127,952,3.33
Ribeirão Preto,SP,1991,20970,20970,36547,1742,2.74
Araçatuba,SP,1991,18663,18663,16863,903,4.57
Bauru,SP,1991,20659,20659,17810,862,1.45
Araraquara,SP,1991,1925,1925,2509,1303,0.38
Piracicaba,SP,1991,1843,1843,1438,780,0.23
Campinas,SP,1991,10982,10982,12331,1122,2.21
Presidente Prudente,SP,1991,47324,47324,27813,587,8.23
Marília,SP,1991,4935,4935,1700,344,3.68
Assis,SP,1991,9364,9364,6943,741,0.91
Itapetininga,SP,1991,122061,122061,111075,909,19.6
Macro Metropolitana Paulista,SP,1991,17466,17466,14817,848,3.54
Vale do Paraíba Paulista,SP,1991,13103,13103,11923,909,11.65
Litoral Sul Paulista,SP,1991,3022,3022,2251,744,14.79
Metropolitana de São Paulo,SP,1991,1157,1157,753,650,2.88
Noroeste Paranaense,PR,1991,35774,34822,13862,398,3.76
Centro Ocidental Paranaense,PR,1991,27130,27115,12391,456,0.84
Norte Central Paranaense,PR,1991,81630,81630,40275,493,3.48
Norte Pioneiro Paranaense,PR,1991,58465,58465,50477,863,6.86
Centro Oriental Paranaense,PR,1991,61840,61840,49435,799,10.26
Oeste Paranaense,PR,1991,18960,17355,8347,480,0.34
Sudoeste Paranaense,PR,1991,90480,88035,39812,452,9.29
Centro-Sul Paranaense,PR,1991,73490,71635,37202,519,5.34
Sudeste Paranaense,PR,1991,129320,121200,59580,491,18.41
Metropolitana de Curitiba,PR,1991,61939,61939,36951,596,9.48
Oeste Catarinense,SC,1991,263750,230008,105097,456,13.74
Norte Catarinense,SC,1991,29550,28240,23649,837,9.28
Serrana,SC,1991,70810,62960,24078,382,14.67
Vale do Itajaí,SC,1991,20110,18202,12926,710,2.53
Grande Florianópolis,SC,1991,5543,5523,4750,860,2.99
Sul Catarinense,SC,1991,30570,29850,26983,903,4.88
Noroeste Rio-grandense,RS,1991,130931,120925,46988,388,2.28
Nordeste Rio-grandense,RS,1991,11934,11309,6831,604,2.51
Centro Ocidental Rio-grandense,RS,1991,15657,15367,7703,501,1.26
Centro Oriental Rio-grandense,RS,1991,29819,29588,19987,675,2.02
Metropolitana de Porto Alegre,RS,1991,14381,14366,7199,501,0.69
Sudoeste Rio-grandense,RS,1991,2130,2130,873,409,0.07
Sudeste Rio-grandense,RS,1991,24498,24288,9872,406,0.88
Pantanais Sul Mato-grossense,MS,1991,4537,4537,3542,780,12.88
Centro Norte de Mato Grosso do Sul,MS,1991,4432,4195,2869,683,1.16
Leste de Mato Grosso do Sul,MS,1991,7571,6848,4763,695,2.28
Sudoeste de Mato Grosso do Sul,MS,1991,55674,53048,42432,799,5.45
Norte Mato-grossense,MT,1991,20494,20169,9931,492,2.81
Nordeste Mato-grossense,MT,1991,3227,3227,1711,530,2.13
Sudoeste Mato-grossense,MT,1991,21690,21690,10923,503,11.4
Centro-Sul Mato-grossense,MT,1991,5576,5522,2412,436,2.95
Sudeste Mato-grossense,MT,1991,3809,3707,3052,823,0.86
Noroeste Goiano,GO,1991,5413,5343,5332,997,15.84
Norte Goiano,GO,1991,6921,6621,5357,809,15.48
Centro Goiano,GO,1991,116919,116209,61237,526,23.77
Leste Goiano,GO,1991,28749,27579,15859,575,11.07
Sul Goiano,GO,1991,21934,21529,33747,1567,5.35
Distrito Federal,DF,1991,6893,6893,9389,1362,8.38
Madeira-Guaporé,RO,1992,3095,3095,888,286,6.28
Leste Rondoniense,RO,1992,147228,147228,67105,455,25
Vale do Juruá,AC,1992,1103,1103,629,570,3.84
Vale do Acre,AC,1992,14343,14343,9766,680,8.97
Norte Amazonense,AM,1992,10,10,7,700,0.1
Sudoeste Amazonense,AM,1992,352,352,264,750,1.86
Centro Amazonense,AM,1992,736,731,454,621,0.88
Sul Amazonense,AM,1992,826,826,624,755,8.67
Norte de Roraima,RR,1992,1389,1260,405,321,1.7
Sul de Roraima,RR,1992,710,640,260,406,1.87
Baixo Amazonas,PA,1992,11120,10570,4696,444,8.09
Marajó,PA,1992,126,126,100,793,1.17
Metropolitana de Belém,PA,1992,575,575,296,514,2.66
Nordeste Paraense,PA,1992,16955,16955,11683,689,8.03
Sudoeste Paraense,PA,1992,5581,5381,3433,637,4.34
Sudeste Paraense,PA,1992,23025,21735,9234,424,2.65
Norte do Amapá,AP,1992,10,10,2,200,0.06
Sul do Amapá,AP,1992,96,90,18,200,0.15
Ocidental do Tocantins,TO,1992,5780,5760,1973,342,0.65
Oriental do Tocantins,TO,1992,2535,2415,947,392,1.82
Norte Maranhense,MA,1992,9425,8853,2678,302,3.02
Oeste Maranhense,MA,1992,27799,26048,10635,408,7.97
Centro Maranhense,MA,1992,34528,33042,8794,266,8.24
Leste Maranhense,MA,1992,33977,28272,4474,158,4.7
Sul Maranhense,MA,1992,1960,1689,468,277,0.9
Norte Piauiense,PI,1992,32509,31169,4438,142,7.59
Centro-Norte Piauiense,PI,1992,85400,83362,6889,82,9.99
Sudoeste Piauiense,PI,1992,45377,44777,10100,225,15.41
Sudeste Piauiense,PI,1992,123558,123558,11239,90,19.01
Noroeste Cearense,CE,1992,119879,105142,11432,108,6
Norte Cearense,CE,1992,106414,105137,15554,147,11.74
Metropolitana de Fortaleza,CE,1992,15111,15111,6786,449,25.69
Sertões Cearenses,CE,1992,201935,151663,19225,126,41.33
Jaguaribe,CE,1992,82440,75518,27499,364,44.08
Centro-Sul Cearense,CE,1992,39802,39682,8875,223,18.46
Sul Cearense,CE,1992,86090,73990,14028,189,8.21
Oeste Potiguar,RN,1992,67702,66952,16131,240,21.87
Central Potiguar,RN,1992,29644,24361,4463,183,27.4
Agreste Potiguar,RN,1992,85675,84875,26961,317,33.04
Leste Potiguar,RN,1992,16341,16191,3729,230,5.08
Sertão Paraibano,PB,1992,121270,121270,20784,171,41.89
Borborema,PB,1992,64550,64550,7956,123,36.73
Agreste Paraibano,PB,1992,114530,114530,38704,337,24.53
Mata Paraibana,PB,1992,6023,6023,1788,296,0.89
Sertão Pernambucano,PE,1992,221647,163600,33418,204,34.47
São Francisco Pernambucano,PE,1992,20210,16436,11458,697,11.45
Agreste Pernambucano,PE,1992,128763,67329,16347,242,10.23
Mata Pernambucana,PE,1992,5496,4707,1334,283,0.15
Metropolitana de Recife,PE,1992,510,498,225,451,0.11
Sertão Alagoano,AL,1992,37125,29820,6424,215,35.03
Agreste Alagoano,AL,1992,31183,30758,13246,430,23.95
Leste Alagoano,AL,1992,10964,10389,3024,291,0.6
Sertão Sergipano,SE,1992,15795,9085,4045,445,46.48
Agreste Sergipano,SE,1992,22167,20242,6295,310,13.76
Leste Sergipano,SE,1992,4497,3185,1133,355,2.01
Extremo Oeste Baiano,BA,1992,46614,32300,51410,1591,13.54
Vale São-Franciscano da Bahia,BA,1992,40017,22952,17852,777,13.13
Centro Norte Baiano,BA,1992,430907,423876,287173,677,57.85
Nordeste Baiano,BA,1992,155059,132286,43651,329,34.29
Metropolitana de Salvador,BA,1992,2864,2864,1735,605,1.42
Centro Sul Baiano,BA,1992,134244,121111,43845,362,7.14
Sul Baiano,BA,1992,4899,4899,3448,703,1.99
Noroeste de Minas,MG,1992,42577,42307,49406,1167,17.58
Norte de Minas,MG,1992,63154,46714,36832,788,18.79
Jequitinhonha,MG,1992,29948,28298,8516,300,13.46
Vale do Mucuri,MG,1992,17114,11422,4655,407,6.09
Triângulo Mineiro/Alto Paranaíba,MG,1992,42572,38998,33778,866,3.07
Central Mineira,MG,1992,9090,9090,5031,553,6.1
Metropolitana de Belo Horizonte,MG,1992,43227,40832,19961,488,11.63
Vale do Rio Doce,MG,1992,61556,55401,19739,356,10.76
Oeste de Minas,MG,1992,30842,30467,12597,413,10.9
Sul/Sudoeste de Minas,MG,1992,97188,96378,51585,535,8.76
Campo das Vertentes,MG,1992,22233,22233,7912,355,8.59
Zona da Mata,MG,1992,81748,80870,34073,421,13.66
Noroeste Espírito-santense,ES,1992,17810,17810,7138,400,13.56
Litoral Norte Espírito-santense,ES,1992,27564,27564,33147,1202,33.35
Central Espírito-santense,ES,1992,25335,25315,17656,697,17.01
Sul Espírito-santense,ES,1992,12010,11866,6384,538,7.81
Noroeste Fluminense,RJ,1992,4387,4387,3098,706,2.9
Norte Fluminense,RJ,1992,2738,2138,1247,583,0.79
Centro Fluminense,RJ,1992,2299,2290,1866,814,4.3
Baixadas,RJ,1992,877,862,745,864,4.99
Sul Fluminense,RJ,1992,1734,1734,1228,708,7.28
Metropolitana do Rio de Janeiro,RJ,1992,1242,1242,1118,900,1.88
São José do Rio Preto,SP,1992,20072,20072,19796,986,2.79
Ribeirão Preto,SP,1992,16646,16646,27910,1676,1.72
Araçatuba,SP,1992,24365,24365,24770,1016,5.51
Bauru,SP,1992,21523,21523,21716,1008,2.05
Araraquara,SP,1992,1818,1818,2531,1392,0.39
Piracicaba,SP,1992,2313,2313,2056,888,0.44
Campinas,SP,1992,15312,15312,19682,1285,2.4
Presidente Prudente,SP,1992,53992,53992,38439,711,13.86
Marília,SP,1992,5050,5050,1911,378,4.56
Assis,SP,1992,11232,11232,8766,780,1.07
Itapetininga,SP,1992,132885,132885,119525,899,25.41
Macro Metropolitana Paulista,SP,1992,14703,14703,12922,878,3.75
Vale do Paraíba Paulista,SP,1992,9549,9549,8112,849,10.33
Litoral Sul Paulista,SP,1992,812,812,411,506,9.96
Metropolitana de São Paulo,SP,1992,2178,2178,1553,713,5.83
Noroeste Paranaense,PR,1992,23224,23224,7964,342,2.17
Centro Ocidental Paranaense,PR,1992,17950,17950,6167,343,0.72
Norte Central Paranaense,PR,1992,68630,68630,37985,553,2.99
Norte Pioneiro Paranaense,PR,1992,58077,58077,39647,682,5.53
Centro Oriental Paranaense,PR,1992,62280,62280,57044,915,10.19
Oeste Paranaense,PR,1992,17520,17520,10318,588,0.72
Sudoeste Paranaense,PR,1992,76810,76810,80805,1052,10.71
Centro-Sul Paranaense,PR,1992,67110,67110,54274,808,9.19
Sudeste Paranaense,PR,1992,127465,127465,101336,795,26.2
Metropolitana de Curitiba,PR,1992,63315,63315,55096,870,16.59
Oeste Catarinense,SC,1992,233530,231207,216088,934,11.75
Norte Catarinense,SC,1992,32640,31350,33852,1079,5.9
Serrana,SC,1992,71370,71250,79605,1117,17.75
Vale do Itajaí,SC,1992,17939,17670,15069,852,2.43
Grande Florianópolis,SC,1992,5486,5474,4916,898,2.05
Sul Catarinense,SC,1992,29345,28825,20847,723,3.05
Noroeste Rio-grandense,RS,1992,130405,130405,117287,899,2.34
Nordeste Rio-grandense,RS,1992,11960,11960,12506,1045,2.75
Centro Ocidental Rio-grandense,RS,1992,16624,16624,12453,749,1.3
Centro Oriental Rio-grandense,RS,1992,22893,22893,17247,753,0.96
